ID ANSSI,Titre ANSSI,Type,Date de publication,Lien ANSSI,CVE,Description,Score CVSS,Gravité CVSS,Type CWE,CWE Description,Score EPSS,Éditeur,Produit,Versions affectées
,Vulnérabilité dans Apache Tomcat,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-45143,"The JsonErrorReportValve in Apache Tomcat 8.5.83, 9.0.40 to 9.0.68 and 10.1.0-M1 to 10.1.1 did not escape the type, message or description values. In some circumstances these are constructed from user provided data and it was therefore possible for users to supply values that invalidated or manipulated the JSON output.",7.5,HIGH,CWE-116,CWE-116,0.00933,apache,tomcat,"*, 8.5.83, 10.1.0, 10.1.1"
,Multiples vulnérabilités dans les produits Fortinet,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-45857,An incorrect user management vulnerability [CWE-286] in the FortiManager version 6.4.6 and below VDOM creation component may allow an attacker to access a FortiGate without a password via newly created VDOMs after the super_admin account is deleted.,6.5,MEDIUM,NVD-CWE-Other,NVD-CWE-Other,0.0013,fortinet,fortimanager,*
,Multiples vulnérabilités dans les produits Fortinet,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-35845,"Multiple improper neutralization of special elements used in an OS Command ('OS Command Injection') vulnerabilities [CWE-78] in FortiTester 7.1.0, 7.0 all versions, 4.0.0 through 4.2.0, 2.3.0 through 3.9.1 may allow an authenticated attacker to execute arbitrary commands in the underlying shell.",7.8,HIGH,CWE-78,CWE-78,0.01088,fortinet,fortitester,"*, 4.0.0, 4.1.0, 4.1.1, 4.2.0, 7.0.0, 7.1.0"
,Multiples vulnérabilités dans les produits Fortinet,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-39947,"A improper neutralization of special elements used in an os command ('os command injection') in Fortinet FortiADC version 7.0.0 through 7.0.2, FortiADC version 6.2.0 through 6.2.3, FortiADC version version 6.1.0 through 6.1.6, FortiADC version 6.0.0 through 6.0.4, FortiADC version 5.4.0 through 5.4.5 may allow an attacker to execute unauthorized code or commands via specifically crafted HTTP requests.",8.8,HIGH,CWE-78,CWE-78,0.01401,fortinet,fortiadc,"*, 7.0.0, 7.0.1"
,Multiples vulnérabilités dans les produits Fortinet,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-41336,"An improper neutralization of input during web page generation vulnerability [CWE-79] in FortiPortal versions 6.0.0 through 6.0.11 and all versions of 5.3, 5.2, 5.1, 5.0 management interface may allow a remote authenticated attacker to perform a stored cross site scripting (XSS) attack via sending request with specially crafted columnindex parameter.",6.8,MEDIUM,CWE-79,CWE-79,0.00094,fortinet,fortiportal,*
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8009_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8009,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8009w_firmware,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8009w,-
,Multiples vulnérabilités dans les produits Android,Avis,Non spécifiée,https://www.cert.ssi.gouv.fr/avis/None/,CVE-2022-22088,Memory corruption in Bluetooth HOST due to buffer overflow while parsing the command response received from remote,9.8,CRITICAL,CWE-787,CWE-787,0.0071,qualcomm,apq8052_firmware,-
